model_name,summary,capabilities,primary_version,version_name,size,context,input,usage_command,updated_at
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:30b,19GB,256K,Text,ollama pull qwen3:30b,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:32b,20GB,40K,Text,ollama pull qwen3:32b,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:235b,142GB,256K,Text,ollama pull qwen3:235b,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:0.6b-q4_K_M,523MB,40K,Text,ollama pull qwen3:0.6b-q4_K_M,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:0.6b-q8_0,832MB,40K,Text,ollama pull qwen3:0.6b-q8_0,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:0.6b-fp16,1.5GB,40K,Text,ollama pull qwen3:0.6b-fp16,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:1.7b-q4_K_M,1.4GB,40K,Text,ollama pull qwen3:1.7b-q4_K_M,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:1.7b-q8_0,2.2GB,40K,Text,ollama pull qwen3:1.7b-q8_0,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:1.7b-fp16,4.1GB,40K,Text,ollama pull qwen3:1.7b-fp16,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:4b-instruct,2.5GB,256K,Text,ollama pull qwen3:4b-instruct,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:4b-instruct-2507-q4_K_M,2.5GB,256K,Text,ollama pull qwen3:4b-instruct-2507-q4_K_M,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:4b-instruct-2507-q8_0,4.3GB,256K,Text,ollama pull qwen3:4b-instruct-2507-q8_0,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:4b-instruct-2507-fp16,8.1GB,256K,Text,ollama pull qwen3:4b-instruct-2507-fp16,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:4b-thinking,2.5GB,256K,Text,ollama pull qwen3:4b-thinking,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:4b-thinking-2507-q4_K_M,2.5GB,256K,Text,ollama pull qwen3:4b-thinking-2507-q4_K_M,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:4b-thinking-2507-q8_0,4.3GB,256K,Text,ollama pull qwen3:4b-thinking-2507-q8_0,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:4b-thinking-2507-fp16,8.1GB,256K,Text,ollama pull qwen3:4b-thinking-2507-fp16,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:4b-q4_K_M,2.6GB,40K,Text,ollama pull qwen3:4b-q4_K_M,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:4b-q8_0,4.4GB,40K,Text,ollama pull qwen3:4b-q8_0,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:4b-fp16,8.1GB,40K,Text,ollama pull qwen3:4b-fp16,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:8b-q4_K_M,5.2GB,40K,Text,ollama pull qwen3:8b-q4_K_M,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:8b-q8_0,8.9GB,40K,Text,ollama pull qwen3:8b-q8_0,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:8b-fp16,16GB,40K,Text,ollama pull qwen3:8b-fp16,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:14b-q4_K_M,9.3GB,40K,Text,ollama pull qwen3:14b-q4_K_M,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:14b-q8_0,16GB,40K,Text,ollama pull qwen3:14b-q8_0,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:14b-fp16,30GB,40K,Text,ollama pull qwen3:14b-fp16,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:30b-a3b,19GB,256K,Text,ollama pull qwen3:30b-a3b,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:30b-a3b-instruct-2507-q4_K_M,19GB,256K,Text,ollama pull qwen3:30b-a3b-instruct-2507-q4_K_M,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:30b-a3b-q4_K_M,19GB,40K,Text,ollama pull qwen3:30b-a3b-q4_K_M,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:30b-a3b-instruct-2507-q8_0,32GB,256K,Text,ollama pull qwen3:30b-a3b-instruct-2507-q8_0,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:30b-a3b-thinking-2507-q4_K_M,19GB,256K,Text,ollama pull qwen3:30b-a3b-thinking-2507-q4_K_M,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:30b-a3b-q8_0,33GB,40K,Text,ollama pull qwen3:30b-a3b-q8_0,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:30b-a3b-thinking-2507-q8_0,32GB,256K,Text,ollama pull qwen3:30b-a3b-thinking-2507-q8_0,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:30b-a3b-fp16,61GB,40K,Text,ollama pull qwen3:30b-a3b-fp16,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:30b-a3b-instruct-2507-fp16,61GB,256K,Text,ollama pull qwen3:30b-a3b-instruct-2507-fp16,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:30b-a3b-thinking-2507-fp16,61GB,256K,Text,ollama pull qwen3:30b-a3b-thinking-2507-fp16,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:30b-instruct,19GB,256K,Text,ollama pull qwen3:30b-instruct,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:30b-thinking,19GB,256K,Text,ollama pull qwen3:30b-thinking,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:32b-q4_K_M,20GB,40K,Text,ollama pull qwen3:32b-q4_K_M,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:32b-q8_0,35GB,40K,Text,ollama pull qwen3:32b-q8_0,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:32b-fp16,66GB,40K,Text,ollama pull qwen3:32b-fp16,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:235b-a22b,142GB,256K,Text,ollama pull qwen3:235b-a22b,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:235b-a22b-instruct-2507-q4_K_M,142GB,256K,Text,ollama pull qwen3:235b-a22b-instruct-2507-q4_K_M,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:235b-a22b-q4_K_M,142GB,40K,Text,ollama pull qwen3:235b-a22b-q4_K_M,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:235b-a22b-instruct-2507-q8_0,250GB,256K,Text,ollama pull qwen3:235b-a22b-instruct-2507-q8_0,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:235b-a22b-thinking-2507-q4_K_M,142GB,256K,Text,ollama pull qwen3:235b-a22b-thinking-2507-q4_K_M,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:235b-a22b-q8_0,250GB,40K,Text,ollama pull qwen3:235b-a22b-q8_0,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:235b-a22b-thinking-2507-q8_0,250GB,256K,Text,ollama pull qwen3:235b-a22b-thinking-2507-q8_0,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:235b-a22b-fp16,470GB,40K,Text,ollama pull qwen3:235b-a22b-fp16,9 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:235b-a22b-thinking-2507-fp16,470GB,256K,Text,ollama pull qwen3:235b-a22b-thinking-2507-fp16,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:235b-instruct,142GB,256K,Text,ollama pull qwen3:235b-instruct,5 months ago
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.","tools,thinking",0.6b,qwen3:235b-thinking,142GB,256K,Text,ollama pull qwen3:235b-thinking,5 months ago
llama3.2-vision,Llama 3.2 Vision is a collection of instruction-tuned image reasoning generative models in 11B and 90B sizes.,vision,11b,llama3.2-vision:latest,7.8GB,128K,"Text, Image",ollama pull llama3.2-vision:latest,9 months ago
llama3.2-vision,Llama 3.2 Vision is a collection of instruction-tuned image reasoning generative models in 11B and 90B sizes.,vision,11b,llama3.2-vision:11b,7.8GB,128K,"Text, Image",ollama pull llama3.2-vision:11b,9 months ago
llama3.2-vision,Llama 3.2 Vision is a collection of instruction-tuned image reasoning generative models in 11B and 90B sizes.,vision,11b,llama3.2-vision:90b,55GB,128K,"Text, Image",ollama pull llama3.2-vision:90b,9 months ago
llama3.2-vision,Llama 3.2 Vision is a collection of instruction-tuned image reasoning generative models in 11B and 90B sizes.,vision,11b,llama3.2-vision:11b-instruct-q4_K_M,7.8GB,128K,"Text, Image",ollama pull llama3.2-vision:11b-instruct-q4_K_M,9 months ago
llama3.2-vision,Llama 3.2 Vision is a collection of instruction-tuned image reasoning generative models in 11B and 90B sizes.,vision,11b,llama3.2-vision:11b-instruct-q8_0,12GB,128K,"Text, Image",ollama pull llama3.2-vision:11b-instruct-q8_0,9 months ago
llama3.2-vision,Llama 3.2 Vision is a collection of instruction-tuned image reasoning generative models in 11B and 90B sizes.,vision,11b,llama3.2-vision:11b-instruct-fp16,21GB,128K,"Text, Image",ollama pull llama3.2-vision:11b-instruct-fp16,9 months ago
llama3.2-vision,Llama 3.2 Vision is a collection of instruction-tuned image reasoning generative models in 11B and 90B sizes.,vision,11b,llama3.2-vision:90b-instruct-q4_K_M,55GB,128K,"Text, Image",ollama pull llama3.2-vision:90b-instruct-q4_K_M,9 months ago
llama3.2-vision,Llama 3.2 Vision is a collection of instruction-tuned image reasoning generative models in 11B and 90B sizes.,vision,11b,llama3.2-vision:90b-instruct-q8_0,95GB,128K,"Text, Image",ollama pull llama3.2-vision:90b-instruct-q8_0,9 months ago
llama3.2-vision,Llama 3.2 Vision is a collection of instruction-tuned image reasoning generative models in 11B and 90B sizes.,vision,11b,llama3.2-vision:90b-instruct-fp16,177GB,128K,"Text, Image",ollama pull llama3.2-vision:90b-instruct-fp16,9 months ago
olmo2,"OLMo 2 is a new family of 7B and 13B models trained on up to 5T tokens. These models are on par with or better than equivalently sized fully open models, and competitive with open-weight models such as Llama 3.1 on English academic benchmarks.",,7b,olmo2:latest,4.5GB,4K,Text,ollama pull olmo2:latest,1 year ago
olmo2,"OLMo 2 is a new family of 7B and 13B models trained on up to 5T tokens. These models are on par with or better than equivalently sized fully open models, and competitive with open-weight models such as Llama 3.1 on English academic benchmarks.",,7b,olmo2:7b,4.5GB,4K,Text,ollama pull olmo2:7b,1 year ago
olmo2,"OLMo 2 is a new family of 7B and 13B models trained on up to 5T tokens. These models are on par with or better than equivalently sized fully open models, and competitive with open-weight models such as Llama 3.1 on English academic benchmarks.",,7b,olmo2:13b,8.4GB,4K,Text,ollama pull olmo2:13b,1 year ago
olmo2,"OLMo 2 is a new family of 7B and 13B models trained on up to 5T tokens. These models are on par with or better than equivalently sized fully open models, and competitive with open-weight models such as Llama 3.1 on English academic benchmarks.",,7b,olmo2:7b-1124-instruct-q4_K_M,4.5GB,4K,Text,ollama pull olmo2:7b-1124-instruct-q4_K_M,1 year ago
olmo2,"OLMo 2 is a new family of 7B and 13B models trained on up to 5T tokens. These models are on par with or better than equivalently sized fully open models, and competitive with open-weight models such as Llama 3.1 on English academic benchmarks.",,7b,olmo2:7b-1124-instruct-q8_0,7.8GB,4K,Text,ollama pull olmo2:7b-1124-instruct-q8_0,1 year ago
olmo2,"OLMo 2 is a new family of 7B and 13B models trained on up to 5T tokens. These models are on par with or better than equivalently sized fully open models, and competitive with open-weight models such as Llama 3.1 on English academic benchmarks.",,7b,olmo2:7b-1124-instruct-fp16,15GB,4K,Text,ollama pull olmo2:7b-1124-instruct-fp16,1 year ago
olmo2,"OLMo 2 is a new family of 7B and 13B models trained on up to 5T tokens. These models are on par with or better than equivalently sized fully open models, and competitive with open-weight models such as Llama 3.1 on English academic benchmarks.",,7b,olmo2:13b-1124-instruct-q4_K_M,8.4GB,4K,Text,ollama pull olmo2:13b-1124-instruct-q4_K_M,1 year ago
olmo2,"OLMo 2 is a new family of 7B and 13B models trained on up to 5T tokens. These models are on par with or better than equivalently sized fully open models, and competitive with open-weight models such as Llama 3.1 on English academic benchmarks.",,7b,olmo2:13b-1124-instruct-q8_0,15GB,4K,Text,ollama pull olmo2:13b-1124-instruct-q8_0,1 year ago
olmo2,"OLMo 2 is a new family of 7B and 13B models trained on up to 5T tokens. These models are on par with or better than equivalently sized fully open models, and competitive with open-weight models such as Llama 3.1 on English academic benchmarks.",,7b,olmo2:13b-1124-instruct-fp16,27GB,4K,Text,ollama pull olmo2:13b-1124-instruct-fp16,1 year ago
phi4,"Phi-4 is a 14B parameter, state-of-the-art open model from Microsoft.",,14b,phi4:latest,9.1GB,16K,Text,ollama pull phi4:latest,1 year ago
phi4,"Phi-4 is a 14B parameter, state-of-the-art open model from Microsoft.",,14b,phi4:14b,9.1GB,16K,Text,ollama pull phi4:14b,1 year ago
phi4,"Phi-4 is a 14B parameter, state-of-the-art open model from Microsoft.",,14b,phi4:14b-q4_K_M,9.1GB,16K,Text,ollama pull phi4:14b-q4_K_M,1 year ago
phi4,"Phi-4 is a 14B parameter, state-of-the-art open model from Microsoft.",,14b,phi4:14b-q8_0,16GB,16K,Text,ollama pull phi4:14b-q8_0,1 year ago
phi4,"Phi-4 is a 14B parameter, state-of-the-art open model from Microsoft.",,14b,phi4:14b-fp16,29GB,16K,Text,ollama pull phi4:14b-fp16,1 year ago
nomic-embed-text,A high-performing open embedding model with a large token context window.,embedding,latest,nomic-embed-text:latest,274MB,2K,Text,ollama pull nomic-embed-text:latest,2 years ago
nomic-embed-text,A high-performing open embedding model with a large token context window.,embedding,latest,nomic-embed-text:v1.5,274MB,2K,Text,ollama pull nomic-embed-text:v1.5,2 years ago
nomic-embed-text,A high-performing open embedding model with a large token context window.,embedding,latest,nomic-embed-text:137m-v1.5-fp16,274MB,2K,Text,ollama pull nomic-embed-text:137m-v1.5-fp16,2 years ago
bge-m3,"BGE-M3 is a new model from BAAI distinguished for its versatility in Multi-Functionality, Multi-Linguality, and Multi-Granularity.",embedding,567m,bge-m3:latest,1.2GB,8K,Text,ollama pull bge-m3:latest,1 year ago
bge-m3,"BGE-M3 is a new model from BAAI distinguished for its versatility in Multi-Functionality, Multi-Linguality, and Multi-Granularity.",embedding,567m,bge-m3:567m,1.2GB,8K,Text,ollama pull bge-m3:567m,1 year ago
bge-m3,"BGE-M3 is a new model from BAAI distinguished for its versatility in Multi-Functionality, Multi-Linguality, and Multi-Granularity.",embedding,567m,bge-m3:567m-fp16,1.2GB,8K,Text,ollama pull bge-m3:567m-fp16,1 year ago
deepseek-r1,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro.","tools,thinking",1.5b,deepseek-r1:latest,5.2GB,128K,Text,ollama pull deepseek-r1:latest,9 months ago
deepseek-r1,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro.","tools,thinking",1.5b,deepseek-r1:1.5b,1.1GB,128K,Text,ollama pull deepseek-r1:1.5b,9 months ago
deepseek-r1,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro.","tools,thinking",1.5b,deepseek-r1:7b,4.7GB,128K,Text,ollama pull deepseek-r1:7b,9 months ago
deepseek-r1,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro.","tools,thinking",1.5b,deepseek-r1:8b,5.2GB,128K,Text,ollama pull deepseek-r1:8b,9 months ago
deepseek-r1,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro.","tools,thinking",1.5b,deepseek-r1:14b,9.0GB,128K,Text,ollama pull deepseek-r1:14b,9 months ago
deepseek-r1,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro.","tools,thinking",1.5b,deepseek-r1:32b,20GB,128K,Text,ollama pull deepseek-r1:32b,9 months ago
deepseek-r1,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro.","tools,thinking",1.5b,deepseek-r1:70b,43GB,128K,Text,ollama pull deepseek-r1:70b,9 months ago
deepseek-r1,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro.","tools,thinking",1.5b,deepseek-r1:671b,404GB,160K,Text,ollama pull deepseek-r1:671b,8 months ago
deepseek-r1,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro.","tools,thinking",1.5b,deepseek-r1:1.5b-qwen-distill-q4_K_M,1.1GB,128K,Text,ollama pull deepseek-r1:1.5b-qwen-distill-q4_K_M,9 months ago
deepseek-r1,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro.","tools,thinking",1.5b,deepseek-r1:1.5b-qwen-distill-q8_0,1.9GB,128K,Text,ollama pull deepseek-r1:1.5b-qwen-distill-q8_0,9 months ago
deepseek-r1,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro.","tools,thinking",1.5b,deepseek-r1:1.5b-qwen-distill-fp16,3.6GB,128K,Text,ollama pull deepseek-r1:1.5b-qwen-distill-fp16,9 months ago
deepseek-r1,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro.","tools,thinking",1.5b,deepseek-r1:7b-qwen-distill-q4_K_M,4.7GB,128K,Text,ollama pull deepseek-r1:7b-qwen-distill-q4_K_M,9 months ago
deepseek-r1,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro.","tools,thinking",1.5b,deepseek-r1:7b-qwen-distill-q8_0,8.1GB,128K,Text,ollama pull deepseek-r1:7b-qwen-distill-q8_0,9 months ago
deepseek-r1,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro.","tools,thinking",1.5b,deepseek-r1:7b-qwen-distill-fp16,15GB,128K,Text,ollama pull deepseek-r1:7b-qwen-distill-fp16,9 months ago
deepseek-r1,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro.","tools,thinking",1.5b,deepseek-r1:8b-0528-qwen3-q4_K_M,5.2GB,128K,Text,ollama pull deepseek-r1:8b-0528-qwen3-q4_K_M,9 months ago
deepseek-r1,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro.","tools,thinking",1.5b,deepseek-r1:8b-0528-qwen3-q8_0,8.9GB,128K,Text,ollama pull deepseek-r1:8b-0528-qwen3-q8_0,9 months ago
deepseek-r1,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro.","tools,thinking",1.5b,deepseek-r1:8b-0528-qwen3-fp16,16GB,128K,Text,ollama pull deepseek-r1:8b-0528-qwen3-fp16,9 months ago
deepseek-r1,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro.","tools,thinking",1.5b,deepseek-r1:8b-llama-distill-q4_K_M,4.9GB,128K,Text,ollama pull deepseek-r1:8b-llama-distill-q4_K_M,9 months ago
deepseek-r1,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro.","tools,thinking",1.5b,deepseek-r1:8b-llama-distill-q8_0,8.5GB,128K,Text,ollama pull deepseek-r1:8b-llama-distill-q8_0,9 months ago
deepseek-r1,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro.","tools,thinking",1.5b,deepseek-r1:8b-llama-distill-fp16,16GB,128K,Text,ollama pull deepseek-r1:8b-llama-distill-fp16,9 months ago
